name,country_id,country_code,country_name
Badakhshan,1,KAUS,Afghanistan
Badghis,1,AF,Afghanistan
Baghlan,1,AF,Afghanistan
Balkh,1,AF,Afghanistan
Bamyan,1,AF,Afghanistan
Daykundi,1,AF,Afghanistan
Farah,1,AF,Afghanistan
Faryab,1,AF,Afghanistan
Ghazni,1,AF,Afghanistan
Ghōr,1,AF,Afghanistan
Helmand,1,AF,Afghanistan
Herat,1,AF,Afghanistan
Jowzjan,1,AF,Afghanistan
Kabul,1,AF,Afghanistan
Kandahar,1,AF,Afghanistan
Kapisa,1,AF,Afghanistan
Khost,1,AF,Afghanistan
Kunar,1,AF,Afghanistan
Kunduz Province,1,AF,Afghanistan
Laghman,1,AF,Afghanistan
Logar,1,AF,Afghanistan
Nangarhar,1,AF,Afghanistan
Nimruz,1,AF,Afghanistan
Nuristan,1,AF,Afghanistan
Paktia,1,AF,Afghanistan
Paktika,1,AF,Afghanistan
Panjshir,1,AF,Afghanistan
Parwan,1,AF,Afghanistan
Samangan,1,AF,Afghanistan
Sar-e Pol,1,AF,Afghanistan
Takhar,1,AF,Afghanistan
Urozgan,1,AF,Afghanistan
Wardak,1,AF,Afghanistan
Zabul,1,AF,Afghanistan
Brändö,2,AX,Aland Islands
Eckerö,2,AX,Aland Islands
Finström,2,AX,Aland Islands
Föglö,2,AX,Aland Islands
Geta,2,AX,Aland Islands
Hammarland,2,AX,Aland Islands
Jomala,2,AX,Aland Islands
Kökar,2,AX,Aland Islands
Kumlinge,2,AX,Aland Islands
Lemland,2,AX,Aland Islands
Lumparland,2,AX,Aland Islands
Mariehamn,2,AX,Aland Islands
Saltvik,2,AX,Aland Islands
Sottunga,2,AX,Aland Islands
Sund,2,AX,Aland Islands
Vårdö,2,AX,Aland Islands
Berat,3,AL,Albania
Dibër,3,AL,Albania
Durrës,3,AL,Albania
Elbasan,3,AL,Albania
Fier,3,AL,Albania
Gjirokastër,3,AL,Albania
Korçë,3,AL,Albania
Kukës,3,AL,Albania
Lezhë,3,AL,Albania
Shkodër,3,AL,Albania
Tirana,3,AL,Albania
Vlorë,3,AL,Albania
Adrar,4,DZ,Algeria
Aïn Defla,4,DZ,Algeria
Aïn Témouchent,4,DZ,Algeria
Algiers,4,DZ,Algeria
Annaba,4,DZ,Algeria
Batna,4,DZ,Algeria
Béchar,4,DZ,Algeria
Béjaïa,4,DZ,Algeria
Béni Abbès,4,DZ,Algeria
Biskra,4,DZ,Algeria
Blida,4,DZ,Algeria
Bordj Baji Mokhtar,4,DZ,Algeria
Bordj Bou Arréridj,4,DZ,Algeria
Bouïra,4,DZ,Algeria
Boumerdès,4,DZ,Algeria
Chlef,4,DZ,Algeria
Constantine,4,DZ,Algeria
Djanet,4,DZ,Algeria
Djelfa,4,DZ,Algeria
El Bayadh,4,DZ,Algeria
El M'ghair,4,DZ,Algeria
El Menia,4,DZ,Algeria
El Oued,4,DZ,Algeria
El Tarf,4,DZ,Algeria
Ghardaïa,4,DZ,Algeria
Guelma,4,DZ,Algeria
Illizi,4,DZ,Algeria
In Guezzam,4,DZ,Algeria
In Salah,4,DZ,Algeria
Jijel,4,DZ,Algeria
Khenchela,4,DZ,Algeria
Laghouat,4,DZ,Algeria
M'Sila,4,DZ,Algeria
Mascara,4,DZ,Algeria
Médéa,4,DZ,Algeria
Mila,4,DZ,Algeria
Mostaganem,4,DZ,Algeria
Naama,4,DZ,Algeria
Oran,4,DZ,Algeria
Ouargla,4,DZ,Algeria
Ouled Djellal,4,DZ,Algeria
Oum El Bouaghi,4,DZ,Algeria
Relizane,4,DZ,Algeria
Saïda,4,DZ,Algeria
Sétif,4,DZ,Algeria
Sidi Bel Abbès,4,DZ,Algeria
Skikda,4,DZ,Algeria
Souk Ahras,4,DZ,Algeria
Tamanghasset,4,DZ,Algeria
Tébessa,4,DZ,Algeria
Tiaret,4,DZ,Algeria
Timimoun,4,DZ,Algeria
Tindouf,4,DZ,Algeria
Tipasa,4,DZ,Algeria
Tissemsilt,4,DZ,Algeria
Tizi Ouzou,4,DZ,Algeria
Tlemcen,4,DZ,Algeria
Touggourt,4,DZ,Algeria
Eastern,5,AS,American Samoa
Manuʻa,5,AS,American Samoa
Rose,5,AS,American Samoa
Swains,5,AS,American Samoa
Western,5,AS,American Samoa
Andorra la Vella,6,AD,Andorra
Canillo,6,AD,Andorra
Encamp,6,AD,Andorra
Escaldes-Engordany,6,AD,Andorra
La Massana,6,AD,Andorra
Ordino,6,AD,Andorra
Sant Julià de Lòria,6,AD,Andorra
Bengo,7,AO,Angola
Benguela,7,AO,Angola
Bié,7,AO,Angola
Cabinda,7,AO,Angola
Cuando Cubango,7,AO,Angola
Cuanza,7,AO,Angola
Cuanza Norte,7,AO,Angola
Cunene,7,AO,Angola
Huambo,7,AO,Angola
Huíla,7,AO,Angola
Luanda,7,AO,Angola
Lunda Norte,7,AO,Angola
Lunda Sul,7,AO,Angola
Malanje,7,AO,Angola
Moxico,7,AO,Angola
Namibe,7,AO,Angola
Uíge,7,AO,Angola
Zaire,7,AO,Angola
Blowing Point,8,AI,Anguilla
East End,8,AI,Anguilla
George Hill,8,AI,Anguilla
Island Harbour,8,AI,Anguilla
North Hill,8,AI,Anguilla
North Side,8,AI,Anguilla
Sandy Ground,8,AI,Anguilla
Sandy Hill,8,AI,Anguilla
South Hill,8,AI,Anguilla
Stoney Ground,8,AI,Anguilla
The Farrington,8,AI,Anguilla
The Quarter,8,AI,Anguilla
The Valley,8,AI,Anguilla
West End,8,AI,Anguilla
Barbuda,10,AG,Antigua and Barbuda
Redonda,10,AG,Antigua and Barbuda
Saint George,10,AG,Antigua and Barbuda
Saint John,10,AG,Antigua and Barbuda
Saint Mary,10,AG,Antigua and Barbuda
Saint Paul,10,AG,Antigua and Barbuda
Saint Peter,10,AG,Antigua and Barbuda
Saint Philip,10,AG,Antigua and Barbuda
Autonomous City of Buenos Aires,11,AR,Argentina
Buenos Aires,11,AR,Argentina
Catamarca,11,AR,Argentina
Chaco,11,AR,Argentina
Chubut,11,AR,Argentina
Córdoba,11,AR,Argentina
Corrientes,11,AR,Argentina
Entre Ríos,11,AR,Argentina
Formosa,11,AR,Argentina
Jujuy,11,AR,Argentina
La Pampa,11,AR,Argentina
La Rioja,11,AR,Argentina
Mendoza,11,AR,Argentina
Misiones,11,AR,Argentina
Neuquén,11,AR,Argentina
Río Negro,11,AR,Argentina
Salta,11,AR,Argentina
San Juan,11,AR,Argentina
San Luis,11,AR,Argentina
Santa Cruz,11,AR,Argentina
Santa Fe,11,AR,Argentina
Santiago del Estero,11,AR,Argentina
Tierra del Fuego,11,AR,Argentina
Tucumán,11,AR,Argentina
Aragatsotn,12,AM,Armenia
Ararat,12,AM,Armenia
Armavir,12,AM,Armenia
Gegharkunik,12,AM,Armenia
Kotayk,12,AM,Armenia
Lori,12,AM,Armenia
Shirak,12,AM,Armenia
Syunik,12,AM,Armenia
Tavush,12,AM,Armenia
Vayots Dzor,12,AM,Armenia
Yerevan,12,AM,Armenia
Noord,13,AW,Aruba
Oranjestad,13,AW,Aruba
Oranjestad East,13,AW,Aruba
Oranjestad West,13,AW,Aruba
Paradera,13,AW,Aruba
San Nicolaas Noord,13,AW,Aruba
San Nicolaas Zuid,13,AW,Aruba
Santa Cruz,13,AW,Aruba
Savaneta,13,AW,Aruba
Australian Capital Territory,14,AU,Australia
New South Wales,14,AU,Australia
Northern Territory,14,AU,Australia
Queensland,14,AU,Australia
South Australia,14,AU,Australia
Tasmania,14,AU,Australia
Victoria,14,AU,Australia
Western Australia,14,AU,Australia
Burgenland,15,AT,Austria
Carinthia,15,AT,Austria
Lower Austria,15,AT,Austria
Salzburg,15,AT,Austria
Styria,15,AT,Austria
Tyrol,15,AT,Austria
Upper Austria,15,AT,Austria
Vienna,15,AT,Austria
Vorarlberg,15,AT,Austria
Absheron,16,AZ,Azerbaijan
Agdam,16,AZ,Azerbaijan
Agdash,16,AZ,Azerbaijan
Aghjabadi,16,AZ,Azerbaijan
Agstafa,16,AZ,Azerbaijan
Agsu,16,AZ,Azerbaijan
Astara,16,AZ,Azerbaijan
Babek,16,AZ,Azerbaijan
Baku,16,AZ,Azerbaijan
Balakan,16,AZ,Azerbaijan
Barda,16,AZ,Azerbaijan
Beylagan,16,AZ,Azerbaijan
Bilasuvar,16,AZ,Azerbaijan
Dashkasan,16,AZ,Azerbaijan
Fizuli,16,AZ,Azerbaijan
Ganja,16,AZ,Azerbaijan
Gədəbəy,16,AZ,Azerbaijan
Gobustan,16,AZ,Azerbaijan
Goranboy,16,AZ,Azerbaijan
Goychay,16,AZ,Azerbaijan
Goygol,16,AZ,Azerbaijan
Hajigabul,16,AZ,Azerbaijan
Imishli,16,AZ,Azerbaijan
Ismailli,16,AZ,Azerbaijan
Jabrayil,16,AZ,Azerbaijan
Jalilabad,16,AZ,Azerbaijan
Julfa,16,AZ,Azerbaijan
Kalbajar,16,AZ,Azerbaijan
Kangarli,16,AZ,Azerbaijan
Khachmaz,16,AZ,Azerbaijan
,Khankendi,16,AZ,Azerbaijan
Khizi,16,AZ,Azerbaijan
Khojali,16,AZ,Azerbaijan
Kurdamir,16,AZ,Azerbaijan
Lachin,16,AZ,Azerbaijan
Lankaran,16,AZ,Azerbaijan
Lankaran,16,AZ,Azerbaijan
Lerik,16,AZ,Azerbaijan
Martuni,16,AZ,Azerbaijan
Masally,16,AZ,Azerbaijan
Mingachevir,16,AZ,Azerbaijan
